PeakID (cmd=annotatePeaks.pl reproducible_peaks_filtered.bed GRCh38.primary_assembly.genome.fa -gtf gencode.v45.primary_assembly.annotation.gtf)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
chr3-410	chr3	180912633	180912895	+	1	NA	promoter-TSS (ENST00000357559.9)	protein_coding-promoter-TSS (ENST00000357559.9)	79	ENST00000484958.5	ENSG00000114416	ENST00000465551			FXR1			protein_coding
chr6-31	chr6	1641425	1641687	+	1	NA	intron (ENST00000530927.5, intron 9 of 10)	protein_coding-intron (ENST00000380805.6, intron 4 of 5)	-15368	ENST00000486793.5	ENSG00000112699	ENST00000476972			GMDS			protein_coding
chr12-5	chr12	116503286	116503548	+	1	NA	intron (ENST00000659057.1, intron 1 of 2)	lncRNA-intron (ENST00000659057.1, intron 1 of 2)	-14441	ENST00000552992.1	ENSG00000258018	ENST00000552992			LINC02457			lncRNA
chr7-31	chr7	144835931	144836193	+	1	NA	promoter-TSS (ENST00000360057.7)	protein_coding-promoter-TSS (ENST00000360057.7)	-9	ENST00000378099.7	ENSG00000196511	ENST00000489798			TPK1			protein_coding
chr6-572	chr6	13710867	13711129	+	1	NA	exon (ENST00000011619.6, exon 1 of 14)	protein_coding-exon (ENST00000011619.6, exon 1 of 14)	837	ENST00000011619.6	ENSG00000010017	ENST00000011619			RANBP9			protein_coding
chr17-18	chr17	58518163	58518425	+	1	NA	promoter-TSS (ENST00000323456.9)	protein_coding-promoter-TSS (ENST00000323456.9)	-21	ENST00000687131.2	ENSG00000289147	ENST00000687131			ENSG00000289147			lncRNA
chr1-454	chr1	23368928	23369190	+	1	NA	promoter-TSS (ENST00000335648.3)	lncRNA-promoter-TSS (ENST00000335648.3)	62	ENST00000458053.4	ENSG00000249087	ENST00000690463			ZNF436-AS1			lncRNA
chr2-205	chr2	219722353	219722615	+	1	NA	intron (ENST00000606673.1, intron 1 of 1)	lncRNA-intron (ENST00000606673.1, intron 1 of 1)	-7626	ENST00000442416.1	ENSG00000227308	ENST00000416861			LINC02832			lncRNA
chr9-18	chr9	33234178	33234440	+	1	NA	intron (ENST00000379725.5, intron 2 of 4)	protein_coding-intron (ENST00000379725.5, intron 2 of 4)	-5858	ENST00000379721.4	ENSG00000122711	ENST00000379721			SPINK4			protein_coding
chr9-744	chr9	89022214	89022476	+	1	NA	intron (ENST00000375835.9, intron 11 of 11)	protein_coding-intron (ENST00000375835.9, intron 11 of 11)	19792	ENST00000375831.1	ENSG00000148082	ENST00000375835			SHC3			protein_coding
chr16-40	chr16	78099415	78099677	+	1	NA	promoter-TSS (ENST00000355860.7)	protein_coding-promoter-TSS (ENST00000355860.7)	-80	ENST00000569332.5	ENSG00000186153	ENST00000562639			WWOX			protein_coding
chr20-523	chr20	50165952	50166214	+	1	NA	promoter-TSS (ENST00000435301.2)	lncRNA-promoter-TSS (ENST00000435301.2)	18	ENST00000615503.1	ENSG00000237595	ENST00000652554			LINC01275			lncRNA
chr8-66	chr8	96959879	96960141	+	1	NA	intron (ENST00000220763.10, intron 4 of 7)	protein_coding-intron (ENST00000220763.10, intron 4 of 7)	-69459	ENST00000522617.3	ENSG00000104324	ENST00000519900			CPQ			protein_coding
chr3-298	chr3	15634187	15634449	+	1	NA	intron (ENST00000672336.1, intron 2 of 3)	protein_coding-intron (ENST00000303498.10, intron 2 of 4)	4316	ENST00000482824.2	ENSG00000169814	ENST00000482824			BTD			protein_coding
chr2-111	chr2	219001767	219002029	+	1	NA	promoter-TSS (ENST00000362103.4)	miRNA-promoter-TSS (ENST00000362103.4)	-190	ENST00000362103.4	ENSG00000198973	ENST00000362103			MIR375			miRNA
chr13-11	chr13	30743518	30743780	+	1	NA	intron (ENST00000479597.1, intron 1 of 1)	protein_coding-intron (ENST00000380490.5, intron 1 of 4)	1313	ENST00000479597.1	ENSG00000132965	ENST00000380490			ALOX5AP			protein_coding
chr17-1811	chr17	68614785	68615047	+	1	NA	intron (ENST00000587999.1, intron 2 of 2)	lncRNA-intron (ENST00000587999.1, intron 2 of 2)	-13187	ENST00000591754.1	ENSG00000267659	ENST00000591754			LINC01482			lncRNA
chr3-76	chr3	14256661	14256923	+	1	NA	Intergenic	Intergenic	47053	ENST00000525575.1	ENSG00000255021	ENST00000525575			ENSG00000255021			lncRNA
chr13-78	chr13	25301459	25301721	+	1	NA	promoter-TSS (ENST00000381718.8)	protein_coding-promoter-TSS (ENST00000381718.8)	18	ENST00000477876.3	ENSG00000139496	ENST00000476553			NUP58			protein_coding
chr2-178	chr2	130836866	130837128	+	1	NA	promoter-TSS (ENST00000409359.7)	protein_coding-promoter-TSS (ENST00000409359.7)	-3	ENST00000446213.2	ENSG00000233221	ENST00000429282			ARHGEF4-AS1			lncRNA
chr11-159	chr11	65574279	65574541	+	1	NA	TTS (ENST00000316409.2)	protein_coding-TTS (ENST00000316409.2)	766	ENST00000702550.1	ENSG00000290026	ENST00000702550			ENSG00000290026			lncRNA
chr19-246	chr19	43596238	43596500	+	1	NA	promoter-TSS (ENST00000336564.5)	protein_coding-promoter-TSS (ENST00000336564.5)	-23	ENST00000391965.6	ENSG00000124444	ENST00000525771			ZNF576			protein_coding
chr8-14	chr8	127859842	127860104	+	1	NA	exon (ENST00000652695.1, exon 1 of 5)	lncRNA-exon (ENST00000652695.1, exon 1 of 5)	186	ENST00000652695.1	ENSG00000249859	ENST00000667305			PVT1			lncRNA
chr17-168	chr17	75557110	75557372	+	1	NA	promoter-TSS (ENST00000545227.6)	protein_coding-promoter-TSS (ENST00000545227.6)	-564	ENST00000545227.6	ENSG00000073350	ENST00000577200			LLGL2			protein_coding
chr9-459	chr9	89686105	89686367	+	1	NA	intron (ENST00000617436.2, intron 3 of 5)	lncRNA-intron (ENST00000617436.2, intron 3 of 5)	-10176	ENST00000650746.1	ENSG00000237372	ENST00000617436			LINC03062			lncRNA
chr3-335	chr3	153161424	153161686	+	1	NA	promoter-TSS (ENST00000323534.5)	protein_coding-promoter-TSS (ENST00000323534.5)	136	ENST00000701348.1	ENSG00000289885	ENST00000701348			ENSG00000289885			lncRNA
chr2-185	chr2	231786366	231786628	+	1	NA	promoter-TSS (ENST00000350033.8)	protein_coding-promoter-TSS (ENST00000350033.8)	49	ENST00000373608.7	ENSG00000144524	ENST00000631349			COPS7B			protein_coding
chr9-20	chr9	131546716	131546978	+	1	NA	intron (ENST00000636672.2, intron 1 of 3)	protein_coding-intron (ENST00000636672.2, intron 1 of 3)	1324	ENST00000636672.2	ENSG00000283526	ENST00000636672			PRRT1B			protein_coding
chr3-219	chr3	156812475	156812737	+	1	NA	intron (ENST00000473352.1, intron 1 of 1)	lncRNA-intron (ENST00000472943.5, intron 1 of 2)	-1874	ENST00000473864.1	ENSG00000230457	ENST00000473864			PA2G4P4			processed_pseudogene
chr13-85	chr13	32315221	32315483	+	1	NA	promoter-TSS (ENST00000380152.8)	protein_coding-promoter-TSS (ENST00000380152.8)	11	ENST00000533490.7	ENSG00000189167	ENST00000345108			ZAR1L			protein_coding
chr1-494	chr1	153967147	153967409	+	1	NA	promoter-TSS (ENST00000271889.8)	protein_coding-promoter-TSS (ENST00000271889.8)	-256	ENST00000477617.5	ENSG00000143578	ENST00000431292			CREB3L4			protein_coding
chr11-95	chr11	47408255	47408517	+	1	NA	promoter-TSS (ENST00000354884.8)	protein_coding-promoter-TSS (ENST00000354884.8)	-198	ENST00000531974.5	ENSG00000165915	ENST00000529740			SLC39A13			protein_coding
chr3-354	chr3	42079712	42079974	+	1	NA	intron (ENST00000673621.2, intron 1 of 16)	protein_coding-intron (ENST00000487159.5, intron 1 of 16)	-7357	ENST00000484786.5	ENSG00000182606	ENST00000484786			TRAK1			protein_coding
chr5-7	chr5	1555501	1555763	+	1	NA	Intergenic	Intergenic	-3922	ENST00000503113.1	ENSG00000251532	ENST00000503113			ENSG00000251532			lncRNA
chr19-161	chr19	35111013	35111275	+	1	NA	intron (ENST00000649940.1, intron 1 of 1)	protein_coding-intron (ENST00000648240.1, intron 1 of 8)	4634	ENST00000648240.1	ENSG00000285526	ENST00000648240			ENSG00000285526			protein_coding
chr3-258	chr3	194070795	194071057	+	1	NA	promoter-TSS (ENST00000449350.6)	lncRNA-promoter-TSS (ENST00000449350.6)	26	ENST00000449350.6	ENSG00000230102	ENST00000665355			LINC02028			lncRNA
chr20-1490	chr20	50279074	50279336	+	1	NA	TTS (ENST00000421019.1)	lncRNA-TTS (ENST00000421019.1)	1671	ENST00000421019.1	ENSG00000224397	ENST00000692392			PELATON			lncRNA
chr10-25	chr10	119596743	119597005	+	1	NA	promoter-TSS (ENST00000369093.6)	protein_coding-promoter-TSS (ENST00000369093.6)	90	ENST00000436547.7	ENSG00000151923	ENST00000470781			TIAL1			protein_coding
chr9-143	chr9	38620553	38620815	+	1	NA	promoter-TSS (ENST00000377680.3)	lncRNA-promoter-TSS (ENST00000377680.3)	-50	ENST00000484285.2	ENSG00000204860	ENST00000471864			FAM201A			lncRNA
chr2-144	chr2	26345638	26345900	+	1	NA	promoter-TSS (ENST00000260585.12)	protein_coding-promoter-TSS (ENST00000260585.12)	33	ENST00000459892.5	ENSG00000173567	ENST00000421160			ADGRF3			protein_coding
chr12-292	chr12	1690874	1691136	+	1	NA	promoter-TSS (ENST00000357103.5)	protein_coding-promoter-TSS (ENST00000357103.5)	-65	ENST00000357103.5	ENSG00000006831	ENST00000544470			ADIPOR2			protein_coding
chr13-44	chr13	44989400	44989662	+	1	NA	promoter-TSS (ENST00000361121.6)	protein_coding-promoter-TSS (ENST00000361121.6)	2	ENST00000611650.1	ENSG00000133114	ENST00000611650			GPALPP1			protein_coding
chr12-33	chr12	121352415	121352677	+	1	NA	promoter-TSS (ENST00000261819.8)	protein_coding-promoter-TSS (ENST00000261819.8)	-129	ENST00000536416.5	ENSG00000089053	ENST00000536837			ANAPC5			protein_coding
chr12-9	chr12	53676198	53676460	+	1	NA	promoter-TSS (ENST00000394349.9)	protein_coding-promoter-TSS (ENST00000394349.9)	69	ENST00000549164.5	ENSG00000135390	ENST00000549164			ATP5MC2			protein_coding
chr2-96	chr2	96951955	96952217	+	1	NA	promoter-TSS (ENST00000520074.1)	protein_coding-promoter-TSS (ENST00000520074.1)	-151	ENST00000520074.1	ENSG00000168754	ENST00000494172			FAM178B			protein_coding
chr8-203	chr8	143976478	143976740	+	1	NA	TTS (ENST00000313028.12)	protein_coding-TTS (ENST00000313028.12)	125	ENST00000436759.6	ENSG00000178209	ENST00000345136			PLEC			protein_coding
chr4-234	chr4	40629670	40629932	+	1	NA	promoter-TSS (ENST00000295971.12)	protein_coding-promoter-TSS (ENST00000295971.12)	63	ENST00000510871.5	ENSG00000163694	ENST00000515053			RBM47			protein_coding
chr3-943	chr3	175151024	175151286	+	1	NA	intron (ENST00000489299.5, intron 1 of 10)	protein_coding-intron (ENST00000454872.6, intron 2 of 13)	26749	ENST00000489299.5	ENSG00000177694	ENST00000495900			NAALADL2			protein_coding
chr16-26	chr16	87807020	87807282	+	1	NA	promoter-TSS (ENST00000561567.1)	lncRNA-promoter-TSS (ENST00000561567.1)	-675	ENST00000561567.1	ENSG00000260177	ENST00000561567			ENSG00000260177			lncRNA
chr11-34	chr11	35894159	35894421	+	1	NA	promoter-TSS (ENST00000649203.1)	lncRNA-promoter-TSS (ENST00000649203.1)	-697	ENST00000649203.1	ENSG00000285740	ENST00000649203			ENSG00000285740			lncRNA
chr11-293	chr11	120121885	120122147	+	1	NA	promoter-TSS (ENST00000524956.4)	protein_coding-promoter-TSS (ENST00000524956.4)	-23	ENST00000525887.5	ENSG00000137699	ENST00000533302			TRIM29			protein_coding
chr7-404	chr7	6503429	6503691	+	1	NA	exon (ENST00000435185.5, exon 15 of 21)	protein_coding-exon (ENST00000435185.5, exon 15 of 21)	-12462	ENST00000496556.1	ENSG00000231359	ENST00000496556			RPL31P34			processed_pseudogene
chr4-295	chr4	48340989	48341251	+	1	NA	promoter-TSS (ENST00000264313.11)	protein_coding-promoter-TSS (ENST00000264313.11)	-409	ENST00000264313.11	ENSG00000109171	ENST00000512093			SLAIN2			protein_coding
chr17-1820	chr17	76027348	76027610	+	1	NA	promoter-TSS (ENST00000301607.8)	protein_coding-promoter-TSS (ENST00000301607.8)	-173	ENST00000301607.8	ENSG00000167880	ENST00000586740			EVPL			protein_coding
chr22-39	chr22	28829380	28829642	+	1	NA	intron (ENST00000687270.1, intron 2 of 2)	lncRNA-intron (ENST00000418292.1, intron 1 of 1)	6626	ENST00000447099.1	ENSG00000224256	ENST00000447099			ENSG00000224256			processed_pseudogene
chr19-247	chr19	43950936	43951198	+	1	NA	promoter-TSS (ENST00000251269.9)	protein_coding-promoter-TSS (ENST00000251269.9)	-156	ENST00000591168.5	ENSG00000159905	ENST00000251269			ZNF221			protein_coding
chr8-207	chr8	70493229	70493491	+	1	NA	Intergenic	Intergenic	-12737	ENST00000521051.1	ENSG00000253143	ENST00000521051			ENSG00000253143			lncRNA
chr17-59	chr17	40448710	40448972	+	1	NA	intron (ENST00000269593.5, intron 1 of 3)	protein_coding-intron (ENST00000269593.5, intron 1 of 3)	5391	ENST00000269593.5	ENSG00000141753	ENST00000269593			IGFBP4			protein_coding
chr19-175	chr19	4124015	4124277	+	1	NA	promoter-TSS (ENST00000262948.10)	protein_coding-promoter-TSS (ENST00000262948.10)	-24	ENST00000262948.10	ENSG00000126934	ENST00000262948			MAP2K2			protein_coding
chr16-250	chr16	75245151	75245413	+	1	NA	TTS (ENST00000624205.1)	TEC-TTS (ENST00000624205.1)	-2580	ENST00000569340.1	ENSG00000050820	ENST00000563323			BCAR1			protein_coding
chr12-133	chr12	6852371	6852633	+	1	NA	intron (ENST00000542087.1, intron 1 of 4)	protein_coding-intron (ENST00000229268.13, intron 1 of 19)	349	ENST00000542087.1	ENSG00000111667	ENST00000535080			USP5			protein_coding
chr20-1	chr20	47319836	47320098	+	1	NA	promoter-TSS (ENST00000468376.2)	protein_coding-promoter-TSS (ENST00000468376.2)	-906	ENST00000468376.2	ENSG00000101040	ENST00000468376			ZMYND8			protein_coding
chr10-38	chr10	72331904	72332166	+	1	NA	TTS (ENST00000338820.7)	protein_coding-TTS (ENST00000338820.7)	4830	ENST00000473051.1	ENSG00000148719	ENST00000461919			DNAJB12			protein_coding
chr8-86	chr8	40054652	40054914	+	1	NA	Intergenic	Intergenic	-49386	ENST00000524098.1	ENSG00000253381	ENST00000524098			ENSG00000253381			lncRNA
chr20-1223	chr20	63835048	63835310	+	1	NA	Intergenic	Intergenic	-3141	ENST00000650966.1	ENSG00000130584	ENST00000245663			ZBTB46			protein_coding
chr1-721	chr1	145877969	145878231	+	1	NA	intron (ENST00000355594.9, intron 3 of 13)	protein_coding-intron (ENST00000355594.9, intron 3 of 13)	7766	ENST00000355594.9	ENSG00000198483	ENST00000544626			ANKRD35			protein_coding
chr12-123	chr12	52280968	52281230	+	1	NA	intron (ENST00000423955.7, intron 2 of 10)	protein_coding-intron (ENST00000423955.7, intron 2 of 10)	-1943	ENST00000549788.1	ENSG00000257830	ENST00000549788			ENSG00000257830			lncRNA
chr20-578	chr20	50229288	50229550	+	1	NA	Intergenic	Intergenic	-18224	ENST00000651976.1	ENSG00000224397	ENST00000692392			PELATON			lncRNA
chr4-112	chr4	40621755	40622017	+	1	NA	intron (ENST00000514014.1, intron 1 of 5)	protein_coding-intron (ENST00000295971.12, intron 1 of 6)	7643	ENST00000513044.1	ENSG00000163694	ENST00000515053			RBM47			protein_coding
chr11-122	chr11	30322901	30323163	+	1	NA	promoter-TSS (ENST00000282032.4)	protein_coding-promoter-TSS (ENST00000282032.4)	-44	ENST00000662729.1	ENSG00000254532	ENST00000662729			ARL14EP-DT			lncRNA
chr19-135	chr19	3721412	3721674	+	1	NA	promoter-TSS (ENST00000587912.1)	protein_coding-promoter-TSS (ENST00000587912.1)	-74	ENST00000587912.1	ENSG00000105289	ENST00000591493			TJP3			protein_coding
chr5-54	chr5	134371233	134371495	+	1	NA	promoter-TSS (ENST00000265339.7)	protein_coding-promoter-TSS (ENST00000265339.7)	-105	ENST00000510021.5	ENSG00000119048	ENST00000503080			UBE2B			protein_coding
chr3-610	chr3	185937274	185937536	+	1	NA	promoter-TSS (ENST00000471134.1)	protein_coding-promoter-TSS (ENST00000471134.1)	15	ENST00000487615.5	ENSG00000136527	ENST00000487615			TRA2B			protein_coding
chr7-158	chr7	152436700	152436962	+	1	NA	promoter-TSS (ENST00000262189.11)	protein_coding-promoter-TSS (ENST00000262189.11)	-33	ENST00000648413.1	ENSG00000293165	ENST00000477993			FABP5P3			lncRNA
chr8-534	chr8	141845184	141845446	+	1	NA	Intergenic	Intergenic	-59002	ENST00000408841.2	ENSG00000221768	ENST00000408841			MIR1302-7			miRNA
chr8-46	chr8	68853373	68853635	+	1	NA	promoter-TSS (ENST00000522354.1)	lncRNA-promoter-TSS (ENST00000522354.1)	-741	ENST00000522354.1	ENSG00000254337	ENST00000522354			ENSG00000254337			lncRNA
chr11-143	chr11	69420612	69420874	+	1	NA	Intergenic	Intergenic	-4935	ENST00000545202.3	ENSG00000255980	ENST00000545202			LINC02953			lncRNA
chr5-57	chr5	180861185	180861447	+	1	NA	promoter-TSS (ENST00000502412.2)	protein_coding-promoter-TSS (ENST00000502412.2)	-31	ENST00000506377.5	ENSG00000196670	ENST00000506377			ZFP62			protein_coding
chr1-104	chr1	111449125	111449387	+	1	NA	promoter-TSS (ENST00000235090.10)	protein_coding-promoter-TSS (ENST00000235090.10)	0	ENST00000235090.10	ENSG00000116455	ENST00000235090			WDR77			protein_coding
chr9-246	chr9	37800567	37800829	+	1	NA	promoter-TSS (ENST00000377724.8)	protein_coding-promoter-TSS (ENST00000377724.8)	11	ENST00000489414.5	ENSG00000107371	ENST00000678095			EXOSC3			protein_coding
chr15-184	chr15	82046315	82046577	+	1	NA	promoter-TSS (ENST00000329713.5)	protein_coding-promoter-TSS (ENST00000329713.5)	-327	ENST00000558133.1	ENSG00000183496	ENST00000558133			MEX3B			protein_coding
chr14-18	chr14	53103962	53104224	+	1	NA	promoter-TSS (ENST00000673827.1)	protein_coding-promoter-TSS (ENST00000673827.1)	53	ENST00000673827.1	ENSG00000100523	ENST00000557445			DDHD1			protein_coding
chr14-71	chr14	76917157	76917419	+	1	NA	Intergenic	Intergenic	7361	ENST00000553991.1	ENSG00000259058	ENST00000553991			ENSG00000259058			lncRNA
chr8-106	chr8	123580092	123580354	+	1	NA	Intergenic	Intergenic	-8536	ENST00000516031.1	ENSG00000251840	ENST00000516031			RN7SKP155			misc_RNA
chr17-29	chr17	10119809	10120071	+	1	NA	intron (ENST00000432992.7, intron 1 of 13)	protein_coding-intron (ENST00000432992.7, intron 1 of 13)	-5387	ENST00000323816.8	ENSG00000007237	ENST00000432992			GAS7			protein_coding
chr16-39	chr16	54424171	54424433	+	1	NA	Intergenic	Intergenic	-53508	ENST00000661222.1	ENSG00000261803	ENST00000668085			LINC02140			lncRNA
chr14-253	chr14	92946424	92946686	+	1	NA	TTS (ENST00000553695.5)	protein_coding-TTS (ENST00000553695.5)	14878	ENST00000556876.1	ENSG00000100604	ENST00000556098			CHGA			protein_coding
chr16-222	chr16	88755347	88755609	+	1	NA	intron (ENST00000301015.14, intron 1 of 50)	protein_coding-intron (ENST00000301015.14, intron 1 of 50)	12657	ENST00000567588.1	ENSG00000182376	ENST00000567588			ENSG00000182376			lncRNA
chr15-247	chr15	98873754	98874016	+	1	NA	intron (ENST00000557873.5, intron 1 of 2)	protein_coding-intron (ENST00000557873.5, intron 1 of 2)	166	ENST00000557873.5	ENSG00000140443	ENST00000650285			IGF1R			protein_coding
chr16-56	chr16	81275824	81276086	+	1	NA	intron (ENST00000563804.5, intron 6 of 9)	protein_coding-intron (ENST00000258168.7, intron 7 of 10)	-11864	ENST00000625028.1	ENSG00000280182	ENST00000625028			ENSG00000280182			TEC
chr22-26	chr22	41286305	41286567	+	1	NA	promoter-TSS (ENST00000356244.8)	protein_coding-promoter-TSS (ENST00000356244.8)	-249	ENST00000356244.8	ENSG00000100401	ENST00000356244			RANGAP1			protein_coding
chr9-91	chr9	114558350	114558612	+	1	NA	Intergenic	Intergenic	-14420	ENST00000423876.2	ENSG00000235797	ENST00000423876			ENSG00000235797			processed_pseudogene
chr8-286	chr8	128139852	128140114	+	1	NA	intron (ENST00000650846.1, intron 1 of 3)	lncRNA-intron (ENST00000650846.1, intron 1 of 3)	-10133	ENST00000408334.1	ENSG00000221261	ENST00000408334			MIR1208			miRNA
chr1-388	chr1	1764142	1764404	+	1	NA	intron (ENST00000492845.6, intron 2 of 5)	protein_coding-intron (ENST00000341426.9, intron 2 of 11)	-5698	ENST00000342348.9	ENSG00000008130	ENST00000460602			NADK			protein_coding
chr10-55	chr10	133278551	133278813	+	1	NA	TTS (ENST00000252936.8)	protein_coding-TTS (ENST00000252936.8)	-1814	ENST00000485491.6	ENSG00000151651	ENST00000537099			ADAM8			protein_coding
chr3-50	chr3	196287707	196287969	+	1	NA	promoter-TSS (ENST00000292823.6)	protein_coding-promoter-TSS (ENST00000292823.6)	-86	ENST00000460677.5	ENSG00000161217	ENST00000473978			PCYT1A			protein_coding
chr6-753	chr6	169933374	169933636	+	1	NA	Intergenic	Intergenic	-123403	ENST00000427017.1	ENSG00000236173	ENST00000427017			ENSG00000236173			lncRNA
chr15-161	chr15	89067323	89067585	+	1	NA	intron (ENST00000668304.1, intron 1 of 3)	lncRNA-intron (ENST00000565938.1, intron 1 of 3)	-20005	ENST00000569411.5	ENSG00000140526	ENST00000568308			ABHD2			protein_coding
chr16-272	chr16	85011641	85011903	+	1	NA	promoter-TSS (ENST00000313732.9)	protein_coding-promoter-TSS (ENST00000313732.9)	-237	ENST00000313732.9	ENSG00000153786	ENST00000313732			ZDHHC7			protein_coding
chr3-11	chr3	195030888	195031150	+	1	NA	Intergenic	Intergenic	56353	ENST00000460582.1	ENSG00000173950	ENST00000356740			XXYLT1			protein_coding
chr20-1226	chr20	44765593	44765855	+	1	NA	intron (ENST00000541604.2, intron 2 of 5)	protein_coding-intron (ENST00000372851.8, intron 2 of 5)	19082	ENST00000611368.1	ENSG00000276223	ENST00000611368			ENSG00000276223			lncRNA
chrX-17	chrX	22165037	22165299	+	1	NA	intron (ENST00000424650.1, intron 4 of 4)	protein_coding-intron (ENST00000379374.5, intron 12 of 21)	7815	ENST00000424650.1	ENSG00000224204	ENST00000424650			PHEX-AS1			lncRNA
chr14-168	chr14	74257395	74257657	+	1	NA	intron (ENST00000261980.3, intron 3 of 4)	protein_coding-intron (ENST00000261980.3, intron 3 of 4)	18077	ENST00000261980.3	ENSG00000119614	ENST00000261980			VSX2			protein_coding
chr11-150	chr11	20036105	20036367	+	1	NA	intron (ENST00000534299.5, intron 2 of 3)	protein_coding-intron (ENST00000349880.9, intron 12 of 37)	8682	ENST00000526675.1	ENSG00000166833	ENST00000526675			NAV2			protein_coding
